city,country,latitude,longitude,temp,temp_min,temp_max,humidity,time_zone,weather,cloud_coverage,wind_speed
Puerto Ayora,EC,-0.74,-90.35,72.0,72.0,72.0,91,-21600,scattered clouds,28,1.01
Darnah,LY,32.77,22.64,61.54,61.54,61.54,74,7200,scattered clouds,27,13.71
Bluff,NZ,-46.6,168.33,59.0,59.0,59.0,63,46800,clear sky,0,5.99
Severo-Kuril'sk,RU,50.68,156.12,31.59,31.59,31.59,88,39600,overcast clouds,98,9.46
Lamu,KE,-2.27,40.9,78.8,78.8,78.8,83,10800,haze,20,5.82
Yerbogachën,RU,61.28,108.01,-7.22,-7.22,-7.22,88,28800,overcast clouds,100,10.22
Sur,OM,22.57,59.53,66.83,66.83,66.83,55,14400,broken clouds,53,5.44
Butaritari,KI,3.07,172.79,82.04,82.04,82.04,79,43200,overcast clouds,92,19.57
Sosnovskoye,RU,55.81,43.17,24.89,24.8,25.0,79,10800,light snow,0,11.18
Sunrise Manor,US,36.21,-115.07,52.09,46.99,53.6,25,-28800,few clouds,20,1.81
Koutiala,ML,12.39,-5.46,77.43,77.43,77.43,20,0,overcast clouds,85,7.16
Cartagena,CO,10.4,-75.51,80.6,80.6,80.6,88,-18000,scattered clouds,40,9.17
Acapulco de Juárez,MX,16.86,-99.89,80.6,80.6,80.6,78,-21600,scattered clouds,40,6.93
Morant Bay,JM,17.88,-76.41,76.28,73.99,80.6,74,-18000,few clouds,20,17.22
Qaanaaq,GL,77.48,-69.36,-0.2,-0.2,-0.2,69,-14400,clear sky,0,6.53
Constitución,CL,-35.33,-72.42,56.68,56.68,56.68,66,-10800,clear sky,0,11.18
Hay River,CA,60.82,-115.8,-18.4,-18.4,-18.4,68,-25200,overcast clouds,100,5.82
Tambura,SS,5.6,27.47,73.2,73.2,73.2,32,10800,few clouds,11,2.77
Adrar,MR,20.5,-10.07,66.85,66.85,66.85,27,0,clear sky,0,10.04
Cap Malheureux,MU,-19.98,57.61,75.99,75.99,75.99,86,14400,clear sky,7,5.01
Kapaa,US,22.08,-159.32,77.32,75.99,80.6,74,-36000,light rain,90,14.99
Ponta do Sol,PT,32.67,-17.1,58.59,55.0,62.6,72,0,scattered clouds,40,1.12
Umm Kaddadah,SD,13.6,26.69,61.88,61.88,61.88,31,7200,clear sky,0,18.9
Airai,TL,-8.93,125.41,71.06,71.06,71.06,92,32400,light rain,29,2.91
Thompson,CA,55.74,-97.86,-9.4,-9.4,-9.4,76,-21600,scattered clouds,40,5.82
Half Moon Bay,US,37.46,-122.43,54.81,52.0,57.2,81,-28800,haze,75,3.13
Moose Factory,CA,51.26,-80.61,12.2,12.2,12.2,78,-18000,light snow,90,13.87
Atuona,PF,-9.8,-139.03,78.71,78.71,78.71,79,-34200,light rain,7,19.39
Barrow,US,71.29,-156.79,-5.8,-5.8,-5.8,70,-32400,clear sky,1,25.28
Soe,ID,-9.86,124.28,76.64,76.64,76.64,85,28800,light rain,76,4.94
Tautira,PF,-17.73,-149.15,87.8,87.8,87.8,58,-36000,light rain,20,3.36
Mazamari,PE,-11.33,-74.53,70.84,70.84,70.84,75,-18000,overcast clouds,100,1.7
Mar del Plata,AR,-38.0,-57.56,73.4,73.4,73.4,35,-10800,clear sky,0,11.41
Khatanga,RU,71.97,102.5,-33.57,-33.57,-33.57,81,25200,clear sky,1,2.57
Sarāhan,IN,31.52,77.8,27.9,27.9,27.9,47,19800,clear sky,0,8.99
Atbasar,KZ,51.8,68.33,6.12,6.12,6.12,90,21600,overcast clouds,100,9.98
Saint Paul Harbor,US,57.79,-152.41,30.2,30.2,30.2,80,-32400,overcast clouds,90,2.57
Nanjing,CN,32.06,118.78,37.33,32.0,39.99,69,28800,clear sky,0,4.47
Kudahuvadhoo,MV,2.67,72.89,81.84,81.84,81.84,70,18000,light rain,0,5.73
Port Elizabeth,ZA,-33.92,25.57,64.4,64.4,64.4,93,7200,few clouds,20,13.87
Pouembout,NC,-21.13,164.9,82.17,82.17,82.17,56,39600,broken clouds,72,5.73
